Email,Address,Avatar,Avg. Session Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent
dylanfigueroa@gmail.com,Amberport,Yellow,36.49953301176166,12.816478253758106,36.8642015221646,3.4301727956614343,1637.7059750330695
jenniferjohnson@yahoo.com,South Brendan,Pink,29.882475493723717,8.679950876412391,40.42543775181057,4.882204889214489,1506.3932611465652
howardsteven@anthony.org,Wandaborough,Green,30.729367437522455,14.36159882158061,31.993994240652697,4.195392049793258,1532.0569445482547
thompsonheather@gmail.com,Colefort,Pink,32.47642465275181,7.389989869428451,33.71217894146827,4.77974776465811,1537.8868335087293
dennisjimenez@trevino.com,New Kimberlyport,Pink,36.84988102637411,11.902622252234675,41.52521627145657,5.215344315551022,1808.1375075636277
megan85@hotmail.com,North Williamchester,Blue,32.383486740493225,15.586474807627912,36.005637927713586,5.036612735991242,1641.6376204069015
lorilawson@miller.info,Veronicafurt,Green,32.936132219898376,13.941449756903259,37.740648173441905,5.792559825308945,1684.340264136371
deleonronald@kelly-gill.com,New Christina,Green,35.86415720780913,9.440170477717054,40.132804536466345,4.749450146422814,1627.9923015618033
sbrown@yahoo.com,North Frances,Green,32.399363714869054,9.81938900534992,37.858123384080834,3.012805219002276,1479.7947363992705
jasmine28@hotmail.com,Carmenshire,Pink,30.64312657413865,11.30512871575645,39.282530219080456,2.627260258049999,1381.973290272994
glewis@moses.com,Port Randallport,Yellow,32.16553032952337,12.656751567207296,38.539050417365736,5.102474329049546,1632.7015934325855
yfleming@gmail.com,Richardsonmouth,Green,35.74158366761156,14.253101649022302,39.45730041824641,4.338180802982922,1662.434633292826
istevens@brown.com,West Frankport,Orange,33.14172999411027,13.708276214988347,38.232553468620075,4.476241142666559,1557.590441518862
daniellewoods@hubbard.com,East Anne,Pink,36.86131651811252,10.382491580593095,38.82782222520273,3.507608748824892,1622.9858151054739
bruce58@gmail.com,East Erin,Blue,34.47586985252431,13.737465874870415,35.55016613145931,4.39474258817557,1629.520115705473
adam76@gmail.com,Martinhaven,Yellow,31.710382127213034,13.9506740289542,38.30770269808033,2.217321789728732,1439.4987346290793
bnguyen@long-soto.com,Samanthaburgh,Orange,33.102152608930155,13.477040339950735,36.898846126871355,2.3901374231368453,1527.0350777478486
christopher20@allison.com,Castroville,Orange,31.29356376371624,17.45636929531172,36.782363873816294,8.893592762055693,1751.4103597166447
ronniemitchell@yahoo.com,Nguyenfurt,Blue,31.663133938702458,13.952637918526477,32.802053074086764,1.2615004413162918,1453.524661308751
james80@brown.com,Berghaven,Yellow,41.958168502051514,14.435645931882432,35.94596301986706,2.932882371533093,1768.743149151604
geraldjohns@hotmail.com,Lake Jeffrey,Pink,35.03724902006762,16.251716714547527,36.66404887842481,2.735234107668192,1566.3404887547542
gilbertariel@yahoo.com,North Maryside,Red,34.722195978013346,14.200234206098965,40.88915682377958,2.7343774977374067,1574.4792471129308
cspencer@adams-ibarra.com,Pittsburgh,Yellow,31.753639369383873,11.39788864235475,36.30170443862875,3.797374468516965,1507.5406046263333
josephgreen@vargas-keller.com,South Jeremy,Blue,36.139168132562155,14.985405742522275,37.70718301237805,2.524498347720221,1599.9643412553098
michaelwagner@yahoo.com,North Carolyntown,Orange,35.198831203585875,11.697211580359145,40.43834659453109,5.544929154904822,1703.0259313431013
fosterandrew@brock-webb.net,Melissafurt,Pink,36.76324257871554,10.534783311729662,33.90582651151212,4.615839388552348,1663.9547619330547
jacksonlauren@gmail.com,Port Nicoleshire,Yellow,36.6662282967969,10.70604482493217,36.04251602266273,5.1724759367544655,1731.487635462609
candace55@jefferson.com,Kristenshire,Red,30.041821423804954,14.962697892519497,39.19910028226789,4.868583468250369,1554.5045511138642
mezajames@yahoo.com,New Jill,Red,30.780321021460185,13.74049154545457,43.17325460965193,3.4405829511736767,1528.4070602347972
david43@hotmail.com,East Thomas,Green,30.992424369072726,14.621672117136438,32.03735441789387,3.314596771739631,1461.9441129211032
wallacecristina@gmail.com,West Jimmyshire,Green,31.112118713335125,13.750181667268139,36.70675332713759,6.472361590970072,1684.8656378485362
nlester@price.com,Walkerstad,Blue,33.64690472852078,12.87769458571307,38.570519314201725,4.669926114397791,1641.7925985491136
stevenbutler@lee.info,South Craig,Yellow,31.866393095808366,13.136022985335027,39.102658384175186,4.681236029791405,1609.7637562823668
baxtermackenzie@ruiz-rose.net,Susanmouth,Yellow,37.14519708152504,13.682156953012683,42.61528041036196,4.647466982797178,1776.4297034095177
shunter@hotmail.com,North Johnland,Orange,36.809359764163275,11.29502012410641,35.3871193383083,4.630862865445535,1658.2691946049915
justin30@hotmail.com,Parrishport,Orange,32.98707681184192,9.91939964643948,36.41249447000493,2.3230717896717614,1508.0214464697276
kristinelson@hamilton-jacobs.biz,West Annaview,Orange,36.91065243229958,11.529769873032716,32.92977887194872,5.06072895641169,1703.477321349344
anthony49@gmail.com,Lake Denise,Green,35.97626925448041,13.58824670079918,37.32029605102729,8.34385043167893,1827.519986596869
dvasquez@jordan.com,Chanstad,Yellow,32.09858688164548,11.204325436251384,38.27787419934466,4.604729235187989,1631.6522411241156
coopermichael@medina.com,Angelaborough,Yellow,28.981569311948878,16.759233293734823,42.23010096665266,7.097458606643565,1682.7801630896295
hillkevin@leon-cannon.com,South Trevor,Red,32.56406323007854,13.382526433386577,41.25991470694359,4.716626393223245,1656.427237977505
owade@gmail.com,Palmerberg,Green,31.710755737843055,12.738974979820783,40.79052867275884,4.954080029658176,1604.4458190658836
angelicahood@yahoo.com,South Matthew,Pink,33.41301125029166,11.287325368349427,35.26173701814117,4.984520362185475,1678.9184353141043
gamblemichael@yahoo.com,North James,Green,33.1784565737495,14.331474024018224,38.06580767539106,1.5907024028210657,1492.6914901857856
